variavel,rotulo,faltantes,faltantes_pct,zeros,minimo,mediana,maximo,assimetria
administradoras_10k,Administradoras de imóveis / 10 mil hab.,0,0.0,45,0.0,1.226,22.132,3.86
imobiliarias_10k,Imobiliárias e corretoras / 10 mil hab.,0,0.0,31,0.0,2.433,150.379,11.29
imobiliarias_novas_pct,Imobiliárias novas em 12 meses (%),0,0.0,95,0.0,12.867,100.0,2.42
pix_pf_por_hab,Pix de pessoa física por habitante,0,0.0,0,20161.129,55191.163,135731.284,0.93
salario_admissao,Salário mediano de admissão (R$),0,0.0,0,1518.0,1720.0,2575.8,0.45
cadunico_pct,Famílias no CadÚnico / 100 domicílios,0,0.0,0,10.207,51.983,118.975,0.26
credito_per_capita,Crédito per capita (R$),0,0.0,0,291.088,9695.813,1007843.288,20.24
veiculos_por_hab,Veículos por habitante,0,0.0,0,0.002,0.291,0.762,-0.09
saldo_emprego_pct,Saldo de emprego / admissões em 12 meses (%),0,0.0,1,-52.721,4.762,47.215,-0.34
internet_movel_100,Internet móvel 4G/5G de pessoa física / 100 hab.,0,0.0,0,32.645,90.979,127.912,-0.58
banda_larga_100,Banda larga fixa / 100 hab.,0,0.0,0,1.191,26.407,71.622,0.21
