variavel,fonte,data_referencia,data_coleta,observacao,rotulo,entra_no_cluster
administradoras_10k,"Receita Federal - CNPJ, CNAE 6822600 (Base dos Dados)",2026-01-11,2026-09-22,estabelecimentos com situação cadastral ativa,Administradoras de imóveis / 10 mil hab.,True
alavancagem,"Banco Central - ESTBAN, crédito sobre poupança e depósito a prazo (Base dos Dados)",2025-09,2026-09-22,"quanto o município toma emprestado em relação ao que poupa; proxy de risco de inadimplência, que no SCR só existe por UF",Crédito sobre poupança (alavancagem),True
banda_larga_100,Anatel - densidade de banda larga fixa por município (Base dos Dados),2025-09,2026-09-22,"acessos por 100 habitantes, já calculado pela Anatel",Banda larga fixa / 100 hab.,True
cadunico_pct,Ministério do Desenvolvimento e Assistência Social - Cadastro Único (API MISocial/SAGI),2026-09,2026-09-22,"famílias cadastradas sobre domicílios estimados (população IBGE dividida por 2.8 moradores por domicílio, PNAD Contínua); a API não preenche a contagem de pessoas nesta competência",Famílias no CadÚnico / 100 domicílios,True
corretores_seguros_10k,"Receita Federal - CNPJ, CNAE 6622300 (Base dos Dados)",2026-01-11,2026-09-22,"corretores de seguros ativos: oferta local do seguro-fiança, que é o produto concorrente direto da fiança",Corretores de seguros / 10 mil hab.,True
credito_per_capita,"Banco Central - ESTBAN, verbete 160 operações de crédito (Base dos Dados)",2025-09,2026-09-22,saldo do mês nas agências instaladas no município; municípios sem agência bancária não aparecem na fonte,Crédito per capita (R$),True
crescimento_populacional_pct,"IBGE - Estimativas da população, dois anos consecutivos (tabela SIDRA 6579)",2026-07-01,2026-09-22,"variação da população de 2025 para 2026: entrada de gente é o que cria demanda de locação, e é independente do nível de renda da praça",Crescimento da população em 1 ano (%),True
imobiliarias_10k,"Receita Federal - CNPJ, CNAE 6821801 (Base dos Dados)",2026-01-11,2026-09-22,estabelecimentos com situação cadastral ativa,Imobiliárias e corretoras / 10 mil hab.,True
imobiliarias_novas_pct,"Receita Federal - CNPJ, CNAE 6821 e 6822 (Base dos Dados)",2026-01-11,2026-09-22,"abertas nos 12 meses anteriores ao snapshot, sobre o total ativo do setor",Imobiliárias novas em 12 meses (%),True
internet_movel_100,Anatel - acessos de telefonia móvel por município e tecnologia (dados abertos),2026-07,2026-09-22,"acessos 4G e 5G do mês 2026-07, divididos pela população IBGE; arquivo lido por requisição de faixa para não baixar o ZIP de 3,2 GB",Internet móvel 4G/5G de pessoa física / 100 hab.,True
jovens_admissoes_pct,Novo CAGED - microdados de movimentação (Base dos Dados),2026-01,2026-09-22,"fatia das admissões com 18 a 30 anos: é a faixa que aluga, então mede entrada de demanda de locação, não riqueza",Admissões de 18 a 30 anos (%),True
pix_pf_por_hab,Banco Central - Transações Pix por Município (API OData),2026-08,2026-09-22,soma de 12 meses completos (202509 a 202608); meses incompletos descartados: [202609],Pix de pessoa física por habitante,True
reserva_per_capita,"Banco Central - ESTBAN, verbetes 420 e 432 poupança e depósito a prazo (Base dos Dados)",2025-09,2026-09-22,"colchão de reserva local, que é o que sustenta o aluguel quando a renda cai",Poupança e depósito a prazo per capita (R$),True
salario_admissao,Novo CAGED - microdados de movimentação (Base dos Dados),2026-01,2026-09-22,média e mediana do salário de admissão nos 12 meses até 2026-01; salários fora de R$ 100 a R$ 200000 descartados,Salário mediano de admissão (R$),True
saldo_emprego_pct,Novo CAGED - microdados de movimentação (Base dos Dados),2026-01,2026-09-22,saldo de 12 meses dividido pelas admissões do período; a RAIS não foi usada como estoque porque seu dado mais recente é anterior a 2025,Saldo de emprego / admissões em 12 meses (%),True
veiculos_por_hab,Senatran - frota de veículos por município e tipo (Base dos Dados),2026-07,2026-09-22,usa automóveis como proxy de patrimônio; motocicletas ficam como descritora porque no Brasil a moto cresce onde a renda cai,Veículos por habitante,True
domicilios_alugados_pct_uf,"IBGE - PNAD Contínua anual, condição de ocupação do domicílio (tabela SIDRA 6821)",2025,2026-09-22,"percentual de domicílios alugados na UF; descritora, não entra no cluster",Domicílios alugados na UF (%),False
fipezap_aluguel,"FIPE/ZAP - índice FipeZap, séries históricas de locação residencial",2026-08,2026-09-22,"aluguel médio por m² em 36 cidades; descritora, cruzada por nome de município",Aluguel médio FipeZap (R$/m²),False
inadimplencia_pf_uf,"Banco Central - SCR por sub-região, cliente pessoa física (API OData)",2026-08,2026-09-22,carteira vencida acima de 15 dias sobre a carteira total da UF; descritora,Inadimplência de pessoa física na UF (%),False
populacao,IBGE - Estimativas da população (tabela SIDRA 6579),2026-07-01,2026-09-22,687 municípios com 50.000 habitantes ou mais,População estimada (universo da análise),False
poupanca_per_capita,"Banco Central - ESTBAN, verbete 420 depósitos de poupança (Base dos Dados)",2025-09,2026-09-21,"colchão de reserva local, que é o que sustenta o aluguel quando a renda cai",poupanca_per_capita,False
trends_fianca,"Google Trends - termos ['aluguel sem fiador', 'fiança aluguel'] (pytrends)",2026-09,2026-09-22,"a API devolve unidade da federação mesmo quando se pede cidade; cobertura municipal de 0,3% do universo, abaixo do mínimo de 80%, então entra apenas como descritora por UF","Busca por fiança no Google, por UF (índice)",False
