variavel,rotulo,faltantes,media,desvio_padrao,coef_variacao,minimo,p1,q1,mediana,q3,p99,maximo,assimetria,curtose,aplicar_log
administradoras_10k,Administradoras de imóveis / 10 mil hab.,0,1.7028,1.8225,1.0703,0.0,0.0,0.5494,1.2256,2.3402,7.7045,22.1323,3.864,30.1003,True
imobiliarias_10k,Imobiliárias e corretoras / 10 mil hab.,0,4.2007,7.8684,1.8731,0.0,0.0,0.9797,2.4328,4.9139,25.0163,150.3793,11.2906,186.3727,True
imobiliarias_novas_pct,Imobiliárias novas em 12 meses (%),0,13.5992,9.8549,0.7247,0.0,0.0,9.0909,12.8672,17.6471,50.0,100.0,2.4151,15.2482,True
pix_pf_por_hab,Pix de pessoa física por habitante,0,56897.715,16078.9949,0.2826,20161.1292,24088.8718,47288.1496,55191.1633,65253.5078,106999.7314,135731.2838,0.9269,2.3477,False
salario_admissao,Salário mediano de admissão (R$),0,1781.9086,210.4256,0.1181,1518.0,1518.0,1593.9,1720.0,1993.32,2204.0636,2575.8,0.45,-0.9111,False
cadunico_pct,Famílias no CadÚnico / 100 domicílios,0,55.1047,22.1569,0.4021,10.2069,15.684,36.4525,51.983,73.0077,102.4132,118.9755,0.2556,-0.8391,False
credito_per_capita,Crédito per capita (R$),0,14506.0371,42063.3764,2.8997,291.0875,1101.3784,5534.3882,9695.8128,15400.3068,58663.7542,1007843.2879,20.2429,462.2811,True
veiculos_por_hab,Veículos por habitante,0,0.2867,0.1453,0.5066,0.0016,0.0103,0.1589,0.2914,0.4159,0.5431,0.7622,-0.0924,-0.9892,False
saldo_emprego_pct,Saldo de emprego / admissões em 12 meses (%),0,5.7838,8.2227,1.4217,-52.7208,-14.2408,1.7853,4.7618,9.2744,29.8901,47.2147,-0.3431,9.2563,False
internet_movel_100,Internet móvel 4G/5G de pessoa física / 100 hab.,0,89.2639,14.786,0.1656,32.6455,48.5346,82.4855,90.9787,98.2888,122.7915,127.9125,-0.5758,0.7451,False
banda_larga_100,Banda larga fixa / 100 hab.,0,26.2434,11.9469,0.4552,1.1912,3.5172,17.2479,26.407,34.873,56.3522,71.6222,0.207,0.0152,False
alavancagem,Crédito sobre poupança (alavancagem),0,1.7269,1.9479,1.128,0.2384,0.3677,0.8449,1.2308,2.0044,7.5318,34.9403,9.0614,132.6154,True
reserva_per_capita,Poupança e depósito a prazo per capita (R$),0,10118.3044,16021.2874,1.5834,246.6645,594.3345,4442.8166,7765.1942,12260.2908,53637.9089,352534.9102,15.1073,307.7424,True
corretores_seguros_10k,Corretores de seguros / 10 mil hab.,0,2.3071,2.3589,1.0225,0.0,0.0,0.6621,1.6827,3.0512,11.5787,20.4369,2.3931,9.2579,True
crescimento_populacional_pct,Crescimento da população em 1 ano (%),0,0.5524,0.7359,1.3322,-2.4476,-0.3457,0.0828,0.384,0.7473,3.2617,5.9446,1.9597,8.0858,False
jovens_admissoes_pct,Admissões de 18 a 30 anos (%),0,50.9789,5.7177,0.1122,36.2385,40.689,47.1914,49.8198,54.0642,66.9043,72.3854,0.7728,0.7081,False
