,administradoras_10k,imobiliarias_10k,imobiliarias_novas_pct,pix_pf_por_hab,salario_admissao,cadunico_pct,credito_per_capita,veiculos_por_hab,saldo_emprego_pct,internet_movel_100,banda_larga_100
administradoras_10k,1.0,0.824,0.155,0.579,0.585,-0.607,0.545,0.672,-0.291,0.664,0.719
imobiliarias_10k,0.824,1.0,0.168,0.642,0.658,-0.724,0.636,0.73,-0.359,0.658,0.757
imobiliarias_novas_pct,0.155,0.168,1.0,0.059,0.073,-0.09,0.054,0.082,0.011,0.118,0.121
pix_pf_por_hab,0.579,0.642,0.059,1.0,0.456,-0.484,0.702,0.498,-0.287,0.673,0.478
salario_admissao,0.585,0.658,0.073,0.456,1.0,-0.765,0.386,0.781,-0.396,0.452,0.639
cadunico_pct,-0.607,-0.724,-0.09,-0.484,-0.765,1.0,-0.561,-0.81,0.469,-0.375,-0.731
credito_per_capita,0.545,0.636,0.054,0.702,0.386,-0.561,1.0,0.583,-0.315,0.416,0.533
veiculos_por_hab,0.672,0.73,0.082,0.498,0.781,-0.81,0.583,1.0,-0.451,0.483,0.758
saldo_emprego_pct,-0.291,-0.359,0.011,-0.287,-0.396,0.469,-0.315,-0.451,1.0,-0.144,-0.363
internet_movel_100,0.664,0.658,0.118,0.673,0.452,-0.375,0.416,0.483,-0.144,1.0,0.556
banda_larga_100,0.719,0.757,0.121,0.478,0.639,-0.731,0.533,0.758,-0.363,0.556,1.0
