variavel,rotulo,vif
veiculos_por_hab,Veículos por habitante,6.56
cadunico_pct,Famílias no CadÚnico / 100 domicílios,4.55
credito_per_capita,Crédito per capita (R$),4.46
corretores_seguros_10k,Corretores de seguros / 10 mil hab.,4.22
reserva_per_capita,Poupança e depósito a prazo per capita (R$),3.92
administradoras_10k,Administradoras de imóveis / 10 mil hab.,3.58
imobiliarias_10k,Imobiliárias e corretoras / 10 mil hab.,3.36
banda_larga_100,Banda larga fixa / 100 hab.,3.36
pix_pf_por_hab,Pix de pessoa física por habitante,3.34
salario_admissao,Salário mediano de admissão (R$),3.15
internet_movel_100,Internet móvel 4G/5G de pessoa física / 100 hab.,3.03
alavancagem,Crédito sobre poupança (alavancagem),2.83
crescimento_populacional_pct,Crescimento da população em 1 ano (%),1.89
jovens_admissoes_pct,Admissões de 18 a 30 anos (%),1.88
saldo_emprego_pct,Saldo de emprego / admissões em 12 meses (%),1.33
imobiliarias_novas_pct,Imobiliárias novas em 12 meses (%),1.03
