grupo,nome_grupo,n_variaveis,variaveis_com_log,modelo,nome_modelo,k,menor_cluster,silhueta,davies_bouldin,calinski_harabasz,inercia
A,Mercado imobiliário,3,1,kmeans,KMeans,2,238,0.30479486784239834,1.414641751356497,261.8573566112828,1491.0218420361139
A,Mercado imobiliário,3,1,kmeans,KMeans,3,125,0.3259835532372357,1.156401219467877,280.934524454926,1131.5185983900337
A,Mercado imobiliário,3,1,kmeans,KMeans,4,86,0.30460912187874367,1.0596847296839909,311.7341715446877,869.8929752425493
A,Mercado imobiliário,3,1,kmeans,KMeans,5,66,0.2923574340262674,1.122226255694688,298.5662375899218,749.1489939789903
A,Mercado imobiliário,3,1,kmeans,KMeans,6,59,0.28977692023547547,1.0868286380791659,287.53971882430324,662.4543027942846
A,Mercado imobiliário,3,1,kmeans,KMeans,7,22,0.29008784903336665,1.0604545401845544,282.6056186137165,589.9394309434788
A,Mercado imobiliário,3,1,kmeans,KMeans,8,22,0.25941424820003295,1.0808562479477841,272.4888773999948,541.0636482666766
A,Mercado imobiliário,3,1,kmeans,KMeans,9,21,0.255378124590621,1.0341619662484376,266.7637276880793,496.90733602016155
A,Mercado imobiliário,3,1,kmeans,KMeans,10,10,0.2640128634396289,1.030601259254855,265.2388814531647,455.36185580781176
A,Mercado imobiliário,3,1,ward,Aglomerativo (Ward),2,242,0.20581661648983732,1.3803118738001952,202.37073996457517,
A,Mercado imobiliário,3,1,ward,Aglomerativo (Ward),3,83,0.22928823182998556,1.3496116665628837,213.34763396137916,
A,Mercado imobiliário,3,1,ward,Aglomerativo (Ward),4,40,0.2534104541019012,1.2187294289363657,238.37122969548136,
A,Mercado imobiliário,3,1,ward,Aglomerativo (Ward),5,40,0.2398246866851433,1.1982476208240496,235.9442672816784,
A,Mercado imobiliário,3,1,ward,Aglomerativo (Ward),6,40,0.19689416681578378,1.2388359236064126,218.6997194099918,
A,Mercado imobiliário,3,1,ward,Aglomerativo (Ward),7,31,0.1938051735900772,1.1798766982908078,210.74672603466502,
A,Mercado imobiliário,3,1,ward,Aglomerativo (Ward),8,11,0.1983182951495236,1.1361730020506666,208.55361257351385,
A,Mercado imobiliário,3,1,ward,Aglomerativo (Ward),9,11,0.2129823564302602,1.0986756970257952,210.603575235408,
A,Mercado imobiliário,3,1,ward,Aglomerativo (Ward),10,11,0.21674377898579633,1.072026175641183,211.51009559572796,
A,Mercado imobiliário,3,1,mistura_gaussiana,Mistura Gaussiana,2,233,0.31585335942894827,1.786847914154135,181.86651045014978,
A,Mercado imobiliário,3,1,mistura_gaussiana,Mistura Gaussiana,3,94,0.3306777356875848,1.4370060088620358,207.42382610883718,
A,Mercado imobiliário,3,1,mistura_gaussiana,Mistura Gaussiana,4,68,0.23124762968515333,1.4633124077276691,200.06997199122222,
A,Mercado imobiliário,3,1,mistura_gaussiana,Mistura Gaussiana,5,29,0.19462547340674816,1.414105890298551,166.36396591350123,
A,Mercado imobiliário,3,1,mistura_gaussiana,Mistura Gaussiana,6,28,0.2227210282086198,1.5257638671556144,176.06636623685216,
A,Mercado imobiliário,3,1,mistura_gaussiana,Mistura Gaussiana,7,15,0.24803365415650613,1.2020128956788574,185.22966144845122,
A,Mercado imobiliário,3,1,mistura_gaussiana,Mistura Gaussiana,8,3,0.16869840408406261,1.736383779791164,146.30157240904987,
A,Mercado imobiliário,3,1,mistura_gaussiana,Mistura Gaussiana,9,2,0.17387946473422497,1.2273232179612727,160.85116295833294,
A,Mercado imobiliário,3,1,mistura_gaussiana,Mistura Gaussiana,10,8,0.19883908903044067,1.3691476584421263,167.97516760357794,
