grupo,nome_grupo,n_variaveis,variaveis_com_log,modelo,nome_modelo,k,menor_cluster,silhueta,davies_bouldin,calinski_harabasz,inercia,k_cotovelo
B,Capacidade de pagamento,4,1,kmeans,KMeans,4,79,0.3253856383893329,1.0419345848872066,474.6267722125268,890.835604271705,4
B,Capacidade de pagamento,4,1,ward,Aglomerativo (Ward),4,49,0.3224319616866021,1.0902800194485551,425.2226512286341,,4
A,Mercado imobiliário,3,1,kmeans,KMeans,4,86,0.30460912187874367,1.0596847296839909,311.7341715446877,869.8929752425493,4
B,Capacidade de pagamento,4,1,mistura_gaussiana,Mistura Gaussiana,4,49,0.25639508296782487,1.274518701691027,296.24675608615576,,4
A,Mercado imobiliário,3,1,ward,Aglomerativo (Ward),4,40,0.2534104541019012,1.2187294289363657,238.37122969548136,,4
C,Mercado + renda,6,2,kmeans,KMeans,5,97,0.24399857273114314,1.3066806741361243,273.62506496643437,1582.439397004345,5
D,Mercado + renda + marketing,6,1,kmeans,KMeans,5,73,0.23629283216648259,1.3251270485627473,283.77796829274706,1547.072605438569,5
A,Mercado imobiliário,3,1,mistura_gaussiana,Mistura Gaussiana,4,68,0.23124762968515333,1.4633124077276691,200.06997199122222,,4
C,Mercado + renda,6,2,ward,Aglomerativo (Ward),5,36,0.22284078438263483,1.377590979515388,234.94057252142207,,5
C,Mercado + renda,6,2,mistura_gaussiana,Mistura Gaussiana,5,70,0.19685091382518435,1.4969822722270067,198.25005586318633,,5
D,Mercado + renda + marketing,6,1,ward,Aglomerativo (Ward),5,43,0.1770034029334363,1.4277252906136269,226.54483116920747,,5
D,Mercado + renda + marketing,6,1,mistura_gaussiana,Mistura Gaussiana,5,94,0.1677158359586663,1.7659081233892984,186.56004085843833,,5
