cluster,municipio,sigla_uf,populacao,administradoras_10k,pix_pf_por_hab,posicao
0,Belford Roxo,RJ,518442,0.21,44924.09,1
0,Caucaia,CE,380944,1.1,48570.56,2
0,Águas Lindas de Goiás,GO,249978,0.84,41468.56,3
0,Nossa Senhora do Socorro,SE,205611,0.15,42799.22,4
0,Mesquita,RJ,178780,0.22,49286.92,5
0,Abaetetuba,PA,173638,0.29,44339.28,6
0,Paço do Lumiar,MA,153903,0.52,46789.11,7
0,Crato,CE,139781,0.57,45216.45,8
0,Itapipoca,CE,137795,0.65,33328.16,9
0,Almirante Tamandaré,PR,127031,1.34,46233.71,10
1,Aparecida de Goiânia,GO,560996,0.96,67677.78,1
1,Caxias do Sul,RS,479604,2.9,61038.81,2
1,Mogi das Cruzes,SP,472255,2.52,60315.64,3
1,Betim,MG,433902,1.38,60853.61,4
1,Mauá,SP,429064,0.68,54061.92,5
1,Diadema,SP,403802,1.66,62094.18,6
1,Carapicuíba,SP,398772,1.0,64278.55,7
1,Canoas,RS,359845,2.81,62437.92,8
1,Uberaba,MG,359275,1.81,68816.31,9
1,São Vicente,SP,338253,1.48,58102.82,10
2,Manaus,AM,2327101,1.27,67956.62,1
2,Belém,PA,1396157,1.54,72959.84,2
2,Maceió,AL,995134,2.44,68543.32,3
2,São Gonçalo,RJ,959977,0.69,47248.93,4
2,Teresina,PI,908012,1.77,65061.46,5
2,Duque de Caxias,RJ,866167,0.81,57285.45,6
2,Nova Iguaçu,RJ,843367,0.6,53463.26,7
2,Jaboatão dos Guararapes,PE,685222,1.14,55016.95,8
2,Feira de Santana,BA,663408,3.45,66219.48,9
2,Serra,ES,586901,1.29,57579.15,10
3,São José de Ribamar,MA,260695,0.19,42427.89,1
3,Timon,MA,183123,0.22,44125.56,2
3,Caxias,MA,163650,0.61,42603.82,3
3,Santa Rita,PB,162488,0.12,37400.6,4
3,Cametá,PA,145843,0.0,32538.98,5
3,Bragança,PA,133268,0.15,36213.85,6
3,Marituba,PA,119859,0.17,43207.57,7
3,Codó,MA,118272,0.25,32878.97,8
3,Manacapuru,AM,113042,0.27,40586.18,9
3,Maranguape,CE,108323,0.83,43603.11,10
4,São Paulo,SP,11911337,6.2,86772.87,1
4,Rio de Janeiro,RJ,6731133,3.19,72904.49,2
4,Brasília,DF,3009996,4.06,89877.91,3
4,Fortaleza,CE,2582360,3.61,73833.43,4
4,Salvador,BA,2559945,3.48,77224.58,5
4,Belo Horizonte,MG,2415451,4.31,88564.84,6
4,Curitiba,PR,1832183,10.12,86597.29,7
4,Recife,PE,1588983,4.73,77266.09,8
4,Goiânia,GO,1511709,4.8,110531.06,9
4,Porto Alegre,RS,1388791,6.56,78987.32,10
