,count,mean,std,min,25%,50%,75%,max
timestamp,100000.0,22616.17041,7664.662056333261,0.0,19679.0,24808.5,28295.0,31251.0
uid,100000.0,16226867.92211,9385325.437938517,313.0,8057629.0,16186656.0,24396896.5,32458202.0
campaign,100000.0,17742409.16997,9856458.03459597,73322.0,9100693.0,16294809.0,27491436.0,32452111.0
conversion,100000.0,0.0515,0.2210163760502484,0.0,0.0,0.0,0.0,1.0
conversion_timestamp,100000.0,33643.53185,218590.71405219435,-1.0,-1.0,-1.0,-1.0,2622024.0
conversion_id,100000.0,847532.3418,4201283.290048844,-1.0,-1.0,-1.0,-1.0,32448815.0
attribution,100000.0,0.02829,0.16580093726969092,0.0,0.0,0.0,0.0,1.0
click,100000.0,0.35411,0.4782451202928796,0.0,0.0,0.0,1.0,1.0
click_pos,100000.0,-0.7967,1.7695650379695673,-1.0,-1.0,-1.0,-1.0,101.0
click_nb,100000.0,-0.60923,2.940145447363534,-1.0,-1.0,-1.0,-1.0,130.0
cost,100000.0,0.00027200797723295645,0.0007873255871653879,1e-05,2.22248145763e-05,7.48682635672e-05,0.00022466098577425,0.0295158856864
cpo,100000.0,0.1773837761543876,0.11232381369683565,0.004,0.0870717167934,0.166944898318,0.249206693649,0.987431536805
time_since_last_click,100000.0,289541.76366,527704.580991638,-1.0,-1.0,-1.0,339867.0,2441499.0
cat1,100000.0,22635203.62542,11858209.475825015,138937.0,9312274.0,28928366.0,30763035.0,30763035.0
cat2,100000.0,14775400.26304,9034167.444119021,138937.0,9312274.0,9312274.0,26597095.0,32440053.0
cat3,100000.0,14764501.19617,10161591.180409092,577.0,5458416.0,13113064.0,23810362.0,32457986.0
cat4,100000.0,28401603.91849,3019258.8380358308,358249.0,29196072.0,29196072.0,29196072.0,30054645.0
cat5,100000.0,19366345.15132,11799271.693072999,138937.0,5824238.0,21611413.0,32440044.0,32440053.0
cat6,100000.0,16596873.99765,13269243.768061293,138937.0,1973606.0,20754142.0,29196072.0,32440053.0
cat7,100000.0,15505179.54549,9106607.045485342,1846.0,9312274.0,14074087.0,22921991.0,32458113.0
cat8,100000.0,25381827.4732,7873766.354164948,3225256.0,26597096.0,29196072.0,29196072.0,32440044.0
cat9,100000.0,23503928.7613,8004924.320670822,358246.0,18291877.0,29196072.0,29196072.0,32145483.0
hora,100000.0,5.79536,2.1396654533086523,0.0,5.0,6.0,7.0,8.0
